filename,classification,generator,category,scene,description
me07oqme07oqme07.jpeg,fake,Nano Banana Pro,Group,True,"A well-dressed man in a dark suit and red tie, hands held together, is being escorted by two uniformed police officers along a sidewalk in front of a large neoclassical building; a crowd of photographers and onlookers and a police vehicle with flashing lights are visible in the background."
0d003053cff1c844a1a733b02ea73606.jpeg,fake,Midjourney,Close-Up,False,"Extreme close-up of a baby or lifelike doll's face showing detailed blue-green eyes, nose, lips, and skin texture."
fe7ovxfe7ovxfe7o.jpeg,fake,Nano Banana Pro,Group,True,"Two young women in athletic wear eating pizza and chatting at an outdoor café on a sunlit cobblestone street, with plates of pizza on a table covered by a colorful tablecloth and people walking in the background."
4ca91e737979369e37478c4f4ec6e84e_r9.jpeg,fake,Midjourney,Portrait,True,"Young woman with eyes closed wearing a winter coat and scarf standing in a crowded subway, a man behind her and hand straps visible overhead."
2ad2e05330051435a8976d2f72819b57.jpeg,fake,Adobe Firefly,Portrait,True,"A young man jogging on a paved road, wearing a black and gray athletic shirt, black shorts, and blue running shoes; he is smiling and running outdoors with hedges and green hills in the background."
4ca91e737979369e37478c4f4ec6e84e_r4.jpeg,fake,Midjourney,Portrait,True,"Black-and-white portrait of a young woman in a winter coat and scarf standing on a crowded subway platform, looking pensive with blurred commuters and station signage in the background."
53805809adf9a3d8d0d33c71253fe7eb.jpeg,fake,Stable Diffusion,Group,True,"Three women walking side-by-side down a tree-lined pedestrian street in casual summer outfits (shorts, skirt, jeans) and sunglasses, smiling and talking."
h1gpeyh1gpeyh1gp.jpeg,fake,Nano Banana Pro,Group,True,"Eight people in black formal attire gathered at a graveside in a cemetery, smiling and taking selfies while holding champagne glasses; one person is pouring champagne and a floral arrangement and fresh grave soil are visible."
7xld4y7xld4y7xld.jpeg,fake,Nano Banana Pro,Portrait,True,"Close-up portrait of a middle-aged man with short hair and a salt-and-pepper beard, wearing a green jacket, smiling slightly while standing in front of a red brick wall."
2ebd5194c37a818d1805082c34065c30.jpeg,fake,Stable Diffusion,Group,True,"Two young women in athletic tops sitting on a wooden bench in an urban plaza, smiling and sharing a pepperoni pizza—one holds the pizza box on her lap while the other holds a slice."
7isuvh7isuvh7isu.jpeg,fake,Nano Banana Pro,Portrait,True,Two adult men in suits kissing and holding hands on the lawn in front of a large white neoclassical government building with an American flag flying above.
0b5a6fe395e6652f45b8bdab691c28adc961287d6ecc86ca1f739abcfe584ed2.jpeg,fake,Midjourney,Portrait,False,"Smiling woman with wavy brown hair wearing a white button-up shirt, shown from the chest up against a plain brown background."
2aee09d253a4606d2b5b4a630fbd6b834074ae2a91a3dd28e361eb8dadafad24_r11.jpeg,fake,Adobe Firefly,Portrait,True,"Smiling man wearing a dark suit and striped tie, seated at a desk with a decorative pocket square; office background with a plant, an American flag, and framed artwork."
5bd35cd9932265235fd90b3daf32c65d.jpeg,fake,Midjourney,Portrait,True,"Portrait of an adult man wearing a double-breasted overcoat and tie, standing on a busy city sidewalk with hands in his pockets. Blurred pedestrians, storefronts, and theater marquees fill the background. Vintage color photograph with a mid-20th-century urban atmosphere."
637d149bc1ccd8dedacdf37530cf408e.jpeg,fake,Stable Diffusion,Portrait,True,Young woman smiling at camera on a city sidewalk. She has medium-length brown hair and is wearing a light blue button-up shirt; background shows out-of-focus buildings and street elements.
0bce6c35c24ec5ce8ae8ad5bb4f67d59_r1.jpeg,fake,Stable Diffusion,Portrait,True,A man wearing a white T-shirt and dark pants sitting on a wooden bench in a park with trees and grass in the background.
e566b28a9429f693defb306c191d05a6.jpeg,fake,Midjourney,Portrait,True,"An elderly man and woman standing close with a young child in front of an ornate, historic building. All three wear winter coats and scarves; the woman wears a knit hat, the man has a white beard, and the child has light hair and a neutral expression."
1e4cc5c247a3bdf572d4969c07992b34.jpeg,fake,Adobe Firefly,Group,True,"Smiling family portrait of a man and woman standing close together holding a toddler, posed outdoors with mountains and valley in the background."
149af80e3cf3af0e46ab47863eb7b03e.jpeg,fake,Midjourney,Group,True,Several people on a city sidewalk gathered around and observing an alligator crawling on the pavement.
86ae36214222e367f9bc162308095ada_r12.jpeg,fake,Midjourney,Close-Up,False,"Close-up portrait of a red-haired child with freckles smiling as a large reddish-brown ant crawls on their nose and face, with sharp focus on the eyes and insect."
616ba73f50088eb13244a807076248f7.jpeg,fake,Midjourney,Portrait,True,"Young female tennis player wearing a headband and sports bra, holding a tennis racket and looking toward the camera against a worn, indoor backdrop."
2df3e5ecf2315ee61ffe3c566e125c8a.jpeg,fake,Adobe Firefly,Group,True,"Two young women walking side by side on a city sidewalk, each holding a leash and walking a fluffy dog; trees and modern buildings visible in the background."
5d04c3a88fe8c5d2d7c7a8877e7880fe.jpeg,fake,Stable Diffusion,Close-Up,False,"Extreme close-up of a human eye showing brown-green iris, long dark eyelashes with mascara, defined eyebrow, and skin texture with light reflection in the pupil."
3ae4bd2508eb036a3df769348af8e8e8.jpeg,fake,Midjourney,Group,True,"Smiling family of four (two adults and two children) wearing winter coats and knit hats, posing closely together outdoors with a decorative building in the blurred background."
2ddf7a07da956c375d9d512cf876bd871f5a3150db7b68b7ef25c1c91a694238_r6.jpeg,fake,Adobe Firefly,Group,True,"Smiling family portrait of four: a father and mother standing close together indoors, each holding a young child (a girl on the father's side and a boy on the mother's side) in casual clothing against a bright modern interior."
kv57cgkv57cgkv57.jpeg,fake,Nano Banana Pro,Group,True,"A surgical team of several medical staff in sterile blue scrubs, masks, and gloves performing an open operation in an operating room under an overhead surgical light; surgical instruments are arranged on trays and a patient draped in blue sterile cloth is on the table."
2aa0e54b4dc251420a3679b501dc8a06.jpeg,fake,Stable Diffusion,Group,True,Group portrait of four middle-aged adults (three women and one man) smiling outdoors in front of a brick building.
09edc782a2e242c0840d3b8a3960420d.jpeg,fake,Midjourney,Portrait,True,"Close-up portrait of a serious-looking man holding a tennis racket on an outdoor clay court, wearing a blue athletic shirt and light stubble on his face."
3dbe741ec8da19e60d694783dada6491.jpeg,fake,Stable Diffusion,Group,True,"Group portrait of five men in dark suits and ties standing close together, smiling at the camera against a dark background."
3b1558eefcb3008a00a5e863ce729092.jpeg,fake,Stable Diffusion,Portrait,True,A young man sitting on grass in a park eating a slice of pizza from a large pizza on a plate.
2aee09d253a4606d2b5b4a630fbd6b834074ae2a91a3dd28e361eb8dadafad24_r2.jpeg,fake,Adobe Firefly,Portrait,True,"Smiling Black man wearing a navy suit, white shirt, patterned blue tie and red pocket square, seated at a desk with hands clasped. He wears glasses and a wristwatch; office background includes a lamp, framed artwork and a leather chair."
1a7a5fe1c457806cb6d9fb17649b923a.jpeg,fake,Adobe Firefly,Portrait,True,"A pregnant woman in workout clothes smiling while performing a dumbbell bicep curl in a gym, with exercise equipment and sunlight in the background."
6f9t1r6f9t1r6f9t.jpeg,fake,Nano Banana Pro,Portrait,True,"Black-and-white portrait of a man in a suit standing at a podium, speaking into a microphone while holding and pointing at a smartphone; a large crowd and a tall monument are visible in the background."
62ddb30f859923e2231a777f55de69c7.jpeg,fake,Midjourney,Portrait,True,"Two well-dressed adults (a man and a woman) seated and conversing in an ornate formal room with upholstered chairs, a table with a lamp, and framed portraits on the wall."
59de5a40846ba0dca00d56c21c43afd17c4592b3ba6cbffbc73a985b061fb4a4.jpeg,fake,Midjourney,Portrait,True,"An adult man wearing a dark suit, light dress shirt, and tie, walking outdoors on grass with trees and foliage in the background."
mnj16pmnj16pmnj1.jpeg,fake,Nano Banana Pro,Group,True,"Two firefighters in full turnout gear in front of a burning house; one firefighter is pouring liquid from a red canister toward flames on the ground while the house’s windows and siding are on fire, with a fire engine visible in the background."
64294f3a2adb2e48ac82d6f65ea9d52c.jpeg,fake,Midjourney,Group,True,A group of women in swimsuits standing outdoors around white caskets adorned with flowers in a grassy area with trees and a blue sky.
4c27a50c2f1d7755efe281ea88758885.jpeg,fake,Midjourney,Group,True,A man lies in a hospital bed smiling and talking with his family — a woman and two children — gathered around him in a bright hospital room.
0e65a4e5adc50344a43ffbd1f9ff84ea_r1.jpeg,fake,Midjourney,Portrait,True,"A man in a dark suit playing a violin in a wood-paneled library, standing in front of shelves filled with books."
3de04fb6e7a042632a00f765cdb60e39224156c3a9d7055951f5a0298feb2dba.jpeg,fake,Midjourney,Portrait,True,"A woman leaning on a bar counter, holding a glass with ice and a citrus garnish and looking directly at the camera; shelves of liquor bottles are blurred in the background. She wears a white button-up shirt with rolled sleeves and has a visible forearm tattoo."
99c5f61aa990fcbcaff73a63fdaef4cd.jpeg,real,,Close-Up,True,"Two older men seated closely together in a crowded venue, smiling and laughing. Both wear casual dark-blue tops (one over a white polo), relaxed posture, foreground shows a sneaker; candid, friendly moment."
282422ac298c060155c2cc4312119bd0.jpeg,real,,Portrait,True,"A man wearing sunglasses, a yellow-and-white striped polo shirt, white shorts, black socks and hiking boots sits on a rocky cliff overlooking a vast desert canyon and rugged rock formations in the background."
be43d363ea6ba1e080580d3a2a74c6a000041940d0f27dd9af71faca66afd4ec.jpeg,real,,Group,True,"A bride in a white wedding gown stands in the center holding a bouquet, surrounded by six bridesmaids wearing matching light blue-gray floor-length dresses and holding white floral bouquets, posing outdoors on grass with trees in the background."
a78602fa52fe9377759a2df17a8a09cdbf52a21626a202b4c2a11460312104f5.jpeg,real,,Group,True,"A group of men seated around a table in a casual restaurant, two men in the foreground eating burgers. Table holds a bottle of Coca-Cola, condiments (ketchup, mustard, A1 sauce), fries and napkins. Men wear dress shirts and ties; informal dining setting."
35bdc7578de33e60547e7c87cb903275aed53c3119ae9bf034f455f8c171b6ce.jpeg,real,,Group,True,"Black-and-white photograph of a family seated around a dining table eating a meal. An adult man is on the right, an adult woman on the left, and a young child sits between them; plates of food, serving bowls, utensils, and a glass of water are on the table."
pexels-victorfreitas-865711.jpeg,real,,Close-Up,False,"Extreme close-up of a human eye showing the iris and pupil — blue-green iris with brown flecks, visible eyelashes, sclera, and surrounding skin texture."
b4f77b64ace4bd0e275f9189bb4dda9f.jpeg,real,,Group,True,"Two adults sitting across from each other in a dim bar or café booth, both leaning on their hands and looking pensive or bored; the woman holds a glass on the table."
c65987f9418f465555948957aa66dced2c94386ef70da3809c09ba7a7fd8dd8b.jpeg,real,,Group,True,"Four people in vintage gangster-style clothing seated around a red-and-white checkered table with plates of sausages; an older woman and two men at the table, and a man in a white shirt and suspenders smoking with a shoulder holster and rifle nearby."
56eb13f536b858a48ea41076c246a1f2.jpeg,real,,Close-Up,True,"Elderly man in white clerical robes and a white skullcap, shown in profile with his hand on his chin in a contemplative pose; shallow depth-of-field outdoor background."
97cb4675b218ffb0f3902bf9af1c4660a6ec7268f5c08641a605e6d073e0c246.jpeg,real,,Close-Up,True,Black-and-white close-up photograph of a man in a suit and tie speaking into a microphone at a public gathering; he is gesturing with one hand and there are people and a protest sign visible in the background.
1baf3f78a5ea367863f70e867819f795ca6bcf73a331f741ba00f484aed98b61.jpeg,real,,Group,True,Two young women wearing sports bras eating pizza at an outdoor cafe/table on a busy street.
0b96dd5fd38f6c18236dcec8df90c549.jpeg,real,,Portrait,True,"Elderly woman with a colorful headscarf and blue floral blouse, smiling gently in an outdoor market setting."
6fb659766b7b27ffcd747e63703b1844aabc1e3a72ebfdfee2c1fe66ca25f15f.jpeg,real,,Group,True,"Black-and-white vintage family portrait of two adults and four children posed in front of bookshelves; mother seated holding a young girl, father standing behind, children arranged around them, all wearing formal clothing."
c362188ff928cf10b6cb734ba674c8f91af2ab48af337ebc873cd06769b429a1.jpeg,real,,Portrait,True,"A bartender wearing a white shirt and black bow tie pours liquid from a blue bottle into a jigger over metal cocktail shakers on a bar counter, with shelves of liquor bottles blurred in the background."
1c3eb9f1ee43097df710c3c2842fd1689b20102bf3404b000b5d3f28f782c33d.jpeg,real,,Portrait,True,"Woman wearing a red and gold embroidered traditional dress and headpiece, standing on a street during a public event or parade."
pexels-maryiaplashchynskaya-3400764.jpeg,real,,Group,False,"Three young women with long brown hair posed closely together, neutral expressions, wearing light-colored tops against a plain light background."
0ae750b9ec4bd9ceaaab393a928b77ac.jpeg,real,,Portrait,True,"Sepia-toned vintage photograph of a young boy smiling while standing in front of a tall person wearing a shaggy fur animal costume and mask, posed outdoors against a brick wall."
bb940e5b5eb4667fa106086a3ddd34ce.jpeg,real,,Group,True,A seated man in a suit at a conference table surrounded by several people who have placed hands on his shoulders and are bowing their heads in a prayerful or supportive gesture.
fb1eff5acdf20dd6aa902af046c1837a.jpeg,real,,Group,True,Vintage black-and-white photo of a woman and a shirtless man standing on a beach with a tall person wearing a shaggy polar bear costume between them.
d6cf6f6e189a0e2a890f90e0cba185c2.jpeg,real,,Portrait,False,"Middle-aged man with a long, bushy gray beard threaded with small wooden beads, prominent eyebrows and a raised-eyebrow expression, wearing a faded dark t-shirt against a solid red background."
6d8fba24ae67e57a85da5aa46b49dce4.jpeg,real,,Group,True,"A man in a blue suit and red tie walks through a doorway escorted by multiple uniformed police officers and security personnel, with officers standing in the foreground and a dimly lit interior behind them."
pexels-koolshooters-9944253.jpeg,real,,Group,True,"Two boxers sparring in an indoor boxing ring — a blonde female in white gloves, black top, red-trim shorts and knee-high socks facing a male in black gear with brown gloves; both are mid-action near the ropes in a dimly lit gym."
pexels-damianruitenga-4127694.jpeg,real,,Group,True,"Three firefighters in protective gear and red helmets stand near a large, intense building fire with thick black smoke. A fire engine is parked to the right with multiple hoses laid out on the ground, and flames engulf debris and nearby vehicles."
pexels-mizunokozuki-13929969.jpeg,real,,Group,True,"Two young women walking together on a city sidewalk, smiling and looking at a smartphone one of them is holding; they wear casual summer outfits (crop tops, skirt and jeans) and carry a handbag, with an illuminated pedestrian hand signal and urban background with graffiti and buildings."
pexels-markarronsmith-2168356.jpeg,real,,Close-Up,False,"Extreme close-up of a human eye showing a golden-brown iris, dark pupil, long eyelashes, and detailed surrounding skin texture."
the-magician-2817077_1280.jpeg,real,,Group,True,"Magician and female assistant performing a stage illusion; assistant lies inside a metal box on a table while the magician in a yellow jacket kneels beside her, smiling."
f87823469991b7b1704ff9e4d4c7d05674097995db209a8e20dbcafdbc5cece9.jpeg,real,,Portrait,True,Smiling adult man in a white t-shirt holding a tennis racket over his shoulder and leaning on the net on an outdoor clay tennis court.
pexels-canan-altan-2152293568-32121769.jpeg,real,,Portrait,True,"A woman wearing a red hijab and white shirt sits at a wooden table in a room covered with a black-and-white checkerboard pattern on the walls and floor, creating an optical illusion."
caabe61d5e181b8da352b0e7b73dfeb4.jpeg,real,,Close-Up,True,"Close-up portrait of a young woman with long blonde hair wearing a red 'Team D' sports jersey, facing forward with a neutral expression against a plain gray background."
ea4e8c5d30ee38844257b18989107682474d269dfbec4930f4dac730b0ea9cda.jpeg,real,,Portrait,True,"A masked burglar in a balaclava and gloves carrying a crowbar walks past a large glass window, his reflection visible; he wears a dark sweater, gray pants and brown shoes."
ebecd99d83795b2053728fef55e17c896376cf242474f246aea909fde054717c.jpeg,real,,Portrait,True,"Smiling woman facing the camera with light brown hair pulled back, wearing a teal high-neck top and a dark navy blazer, photographed outdoors with a blurred leafy background."
ce8af8f993f2ac560f968fe64c1a887b.jpeg,real,,Portrait,True,"A young barefoot child standing on sand wearing a winter hat, sunglasses, a zip-up hoodie and rolled-up cargo pants, casting a long shadow."
35ed44c64fa9ebe57b0f51a055d1b56a.jpeg,real,,Group,True,"Several passengers in a subway car—some standing and holding poles, others seated—most looking at smartphones; colorful, mural-covered interior and metal poles visible."
b12ad54e54c8cece38e862c6b11edf66f1f15459d504b5107c3af796aec8c334.jpeg,real,,Portrait,True,A worker wearing bright orange high-visibility reflective clothing and gloves sweeping a wet pavement with a large broom; parked vehicles and pigeons are visible in the background.
c38189c54230e478e366311946620a3a.jpeg,real,,Close-Up,True,"Close-up portrait of a smiling baby partially submerged in water, wearing a leopard-print swimsuit, outdoors."
e4fd0b7c8c7d3dca42aab01618224fabc57cb8690ec4f3566b3335f83c8ab0ff.jpeg,real,,Portrait,False,"A pregnant woman wearing a fitted black turtleneck dress, sheer black tights and black high heels, standing against a white curved wall and gently holding her belly."
415c0714987b4920f194b5f2053152b8bdaa8f4185583c984f32b950506be724.jpeg,real,,Portrait,True,Full-body portrait of a man in a dark suit and light striped tie walking along a tiled outdoor walkway beside a porch with potted plants and greenery in the background.
d07a9e73914dad147383eb40cb21a296.jpeg,real,,Group,True,A group of pedestrians walking on a city street. Center foreground shows a man in a shiny black jacket holding a red suitcase; to his right a younger man in a dark puffer jacket carries an orange shopping bag. A bus and urban buildings are visible in the background.
765078d524b481fbb30b8acc1a7adf6926c79df9a914c4bd94fc97418e090acc.jpeg,real,,Portrait,True,"A bearded man in camouflage military uniform and a padded tank-style helmet with headset, standing outdoors on a dirt road; he wears a blue armband and has tactical pouches on his vest with vehicles and leafless trees blurred in the background."
b472b7624e736851155da6ece8d096ed1d6ffb74cd3710667a4e956d0812cfc9.jpeg,real,,Portrait,True,"Young woman sitting at a windowed desk using a laptop displaying stock/financial charts; smartphone on the table showing green 'Buy' and red 'Sell' buttons, red mug nearby, visible arm tattoo."
pexels-cottonbro-10485417.jpeg,real,,Group,True,"A group of mourners dressed in black standing outdoors in a wooded area. A woman gently comforts a young girl holding a stuffed bear; other adults stand solemnly nearby, suggesting a funeral or memorial service."
d7f62506968b2101234d06827fc7f959bd2e09c98c21e28d86ef8a4b6c7f9ca7.jpeg,real,,Portrait,True,Male runner mid-stride during a road race wearing a singlet and shorts with a race bib reading 'McClintock 194' and neon yellow running shoes.
4fa5905a0ca903730ed82db21f56a81acec7efe5a0a5eb54a18235ab42f97cd6.jpeg,real,,Portrait,True,"Two adults standing close together in a crowd, both wearing red scarves and winter coats; they appear solemn and are clapping. The woman wears a beige coat and white beanie, the man wears a dark coat."
b9836f50be0bc4098534bf668a8d68209c3708e6574595f492faeff454fcba7f.jpeg,real,,Portrait,True,"Smiling young male doctor wearing a white lab coat and a stethoscope around his neck, standing with arms crossed in a bright medical corridor/clinic interior."
b31a7713cbbb921686f0f1cb14e3f0d011c90b361d2899642eeca804e7b9e7ff.jpeg,real,,Portrait,True,"Smiling middle-aged man in a dark suit and blue patterned tie, standing with arms crossed in an official-looking room with a U.S. flag and a government seal/flag visible in the background."
03a001b85768dd4c7bcb8e20486bf0f20973314b1ec269ef1057f6565de34016.jpeg,real,,Group,True,"Family portrait with a woman in an astronaut suit holding a toddler, a man standing beside them holding another toddler; all posing against a plain white background."
06086a7210d32ee6f6d7afdf64e95c67.jpeg,real,,Group,True,"Two young children sitting on grass: an older girl on the left wearing a pink tie-dye dress and a shell/beaded necklace, smiling, and a younger toddler on the right in a white top and colorful sandals making a playful/exasperated face while touching her ear."
7d95deb6a1fc9795a849e2eab10f49b6.jpeg,real,,Portrait,False,"Close-up portrait of an adult man with short brown hair and a slight smile, wearing a white t-shirt against a plain light gray background."
blood-church-258948_1280.jpeg,real,,Close-Up,True,"Ornate Russian Orthodox church facade with colorful onion domes, gold cupolas, and detailed brick and stone arches."
pexels-orestsv-1821699.jpeg,real,,Portrait,True,A solitary flat-topped tree standing in a barren desert plain with rocky hills in the background under a clear blue sky.
